time,temperature
1554596005,17.0
1554726603,27.9
1554339591,15.0
1554709483,34.1
1554478544,18.4
1554881911,21.3
1554728408,28.7
1554724495,28.7
1555003631,19.3
1554415326,14.1
1554984971,22.2
1554947217,19.0
1554967887,24.3
1554942830,18.0
1554246051,15.2
1554480464,22.6
1554348606,16.3
1554603276,21.9
1554923003,17.9
1554393730,16.5
1554945235,18.4
1554787663,27.9
1554529259,28.2
1554527457,27.0
1554567233,24.5
1554771271,22.3
1554949080,19.8
1554873490,21.9
1554251461,15.6
1555025503,18.7
1554522050,23.2
1555017691,18.3
1554616568,32.2
1554364894,17.6
1554294992,16.0
1554368501,18.5
1554754842,23.3
1554916607,17.9
1554597808,17.9
1554328891,14.6
1555037275,22.5
1554422479,14.9
1554965963,23.6
1554565360,19.3
1554235232,15.7
1554226217,15.7
1554887797,21.0
1554879929,21.7
1554337787,14.9
1554940548,17.8
1554532863,28.9
1554730270,29.3
1554643944,24.5
1554460576,23.8
1554543674,28.6
1554411719,14.3
1554815342,25.6
1554920900,17.8
1554456912,26.0
1554325285,14.7
1554242445,15.0
1554274601,19.6
1554312663,14.9
1554372107,18.7
1554884013,21.3
1554231625,15.8
1554656477,22.3
1555077467,22.1
1554979299,24.3
1554992516,20.7
1554233429,15.8
1554964166,24.2
1554588794,16.7
1555070259,23.0
1554237035,15.5
1554264969,15.7
1554354075,16.8
1554260829,16.6
1554685712,22.1
1554249657,15.5
1554791428,28.8
1554654411,28.4
1554752991,24.6
1554914658,22.2
1554366697,17.9
1554346803,16.2
1554330635,14.7
1554559953,20.1
1554750697,24.4
1554718061,32.0
1555013787,18.6
1554715941,33.3
1555041003,23.6
1555021769,18.8
1555029168,19.8
1555053919,25.7
1554875363,21.6
1554996184,20.1
1554332438,14.7
1554238838,15.4
1554632529,30.1
1555082935,21.6
1554435100,21.0
1554681732,20.8
1554780137,25.9
1554550881,22.9
1554905940,17.8
1554345000,16.0
1554763915,22.8
1555023552,18.8
1555015829,18.3
1554977440,24.7
1554377516,17.1
1554424282,15.3
1554994318,20.6
1554556348,20.7
1554474938,18.7
1554404504,14.5
1554541872,29.3
1554391941,15.2
1555011803,18.4
1554262633,17.1
1554626642,33.3
1554877647,21.8
1554713694,33.1
1554319876,14.9
1554983026,23.0
1554747092,24.7
1554397352,15.0
1554705339,33.0
1554885897,21.2
1554586991,16.4
1554711707,33.1
1554642202,24.1
1554350454,14.7
1554739525,30.4
1554583326,17.3
1554413522,14.2
1554918737,17.9
1554640460,24.8
1554950882,20.5
1554255420,15.9
1554576115,17.9
1554624704,33.3
1554281812,17.8
1554436884,15.2
1554558150,20.3
1554417129,13.9
1554673474,20.4
1555079270,21.9
1554694948,29.3
1554440510,24.8
1554958632,17.9
1554453306,25.5
1554745229,25.1
1554433298,19.3
1554688281,24.0
1554482267,23.9
1554802666,29.9
1554464182,21.5
1555088229,25.4
1554899992,18.9
1554813539,25.9
1554476741,18.5
1554287779,16.8
1555050315,25.8
1554572569,18.2
1554289582,16.3
1554683414,21.5
1554406308,14.7
1554384728,16.1
1554341394,15.3
1554581523,17.5
1554592399,16.4
1554902060,18.7
1554669021,20.4
1555073864,22.6
1554720109,30.9
1554767641,22.5
1554426085,15.7
1554903982,17.7
1554314466,14.9
1554938512,17.7
1554636198,26.9
1554707431,33.7
1554363091,17.4
1554516643,19.9
1555055781,25.7
1555072061,22.8
1554675549,20.2
1554280009,18.5
1554607309,24.8
1554826282,26.4
1554795156,30.1
1554323483,14.6
1554954487,21.9
1554999850,21.5
1554276403,19.5
1554228020,15.6
1554692833,27.9
1554561755,19.9
1554679662,20.3
1555046711,25.9
