time,temperature
1554224413,15.7
1554229823,15.6
1554240642,15.2
1554244248,15.0
1554247854,15.2
1554253618,15.7
1554257224,16.1
1554259027,16.4
1554266772,15.6
1554270995,18.1
1554272798,19.1
1554278206,18.9
1554283555,17.5
1554285976,17.2
1554291386,16.2
1554293189,16.0
1554296795,15.9
1554298598,15.6
1554300401,15.5
1554302204,15.2
1554304008,15.2
1554305811,15.2
1554310860,14.8
1554316270,14.8
1554318073,14.9
1554321679,14.7
1554327089,14.6
1554334241,14.8
1554335985,14.8
1554343197,15.8
1554352258,14.7
1554355878,16.9
1554357681,17.0
1554359485,17.1
1554361288,16.9
1554370304,18.8
1554373910,18.4
1554375713,18.1
1554379319,16.2
1554381121,16.2
1554382925,16.0
1554386531,15.9
1554388335,15.6
1554390138,15.2
1554395533,16.7
1554399154,15.0
1554400958,14.8
1554402762,14.7
1554408111,14.6
1554409915,14.5
1554418932,14.3
1554420676,14.5
1554427889,16.4
1554429691,17.0
1554431495,18.1
1554438688,15.0
1554442312,25.5
1554444115,25.5
1554451504,25.7
1554455109,25.9
1554458774,25.1
1554462379,22.6
1554465985,20.7
1554467727,20.1
1554469530,19.6
1554471272,19.3
1554473136,19.0
1554518445,21.0
1554520247,21.9
1554531062,28.8
1554545476,27.1
1554547278,25.8
1554549079,24.6
1554552683,22.0
1554554486,21.4
1554563558,19.6
1554569035,26.1
1554570827,18.5
1554574312,18.2
1554577918,17.8
1554579720,17.7
1554585189,16.8
1554590596,16.6
1554594202,16.5
1554599670,18.9
1554601473,20.0
1554605198,23.3
1554609420,27.0
1554611203,18.9
1554612946,18.7
1554614688,31.1
1554618634,32.7
1554620747,33.2
1554622623,33.5
1554628712,33.1
1554630787,32.3
1554634374,28.3
1554638417,25.7
1554645944,24.3
1554647853,23.6
1554649891,23.2
1554652046,23.0
1554658404,21.9
1554660712,21.8
1554662867,21.1
1554664815,21.0
1554666772,20.9
1554671347,20.5
1554677466,20.1
1554690609,25.7
1554696978,22.9
1554698978,22.6
1554701194,32.9
1554703275,33.2
1554722219,29.5
1554732132,29.6
1554733934,29.0
1554735737,27.7
1554737539,27.1
1554741687,
1554743427,25.3
1554748894,24.4
1554756705,23.4
1554758520,23.5
1554760376,23.4
1554762053,22.9
1554765717,22.7
1554769442,22.0
1554773048,22.8
1554774849,23.5
1554776659,24.1
1554778485,24.7
1554782137,25.6
1554783923,26.0
1554785725,25.5
1554789509,28.0
1554793288,29.1
1554796959,29.9
1554798913,30.3
1554800752,30.4
1554804468,28.9
1554806271,28.4
1554808073,27.7
1554809935,26.9
1554811737,26.4
1554817145,25.4
1554818947,25.0
1554820749,24.8
1554822506,24.7
1554824354,24.3
1554828151,26.9
1554889997,20.4
1554891896,19.9
1554893864,19.4
1554895826,19.2
1554897830,18.6
1554908163,18.0
1554910207,17.8
1554912570,22.1
1554925090,17.4
1554927029,17.4
1554929210,17.4
1554931566,17.4
1554933818,17.2
1554936369,17.5
1554952685,21.2
1554956426,18.0
1554960495,22.4
1554962357,23.4
1554969906,24.2
1554971799,24.6
1554973622,25.4
1554975574,25.3
1554981170,23.6
1554986887,21.7
1554988861,21.4
1554990653,20.9
1554998043,19.7
1555001653,22.0
1555005674,18.9
1555007605,18.9
1555009759,18.7
1555019735,18.6
1555027315,19.1
1555031112,20.4
1555033228,20.9
1555035184,21.5
1555039202,23.6
1555042929,19.7
1555044800,19.2
1555048512,26.0
1555052117,25.5
1555057584,25.6
1555059386,25.2
1555061188,24.4
1555062989,21.4
1555064791,22.2
1555066594,23.0
1555068456,23.1
1555075665,22.4
1555081072,21.6
1555084737,21.8
1555086487,24.6
