time,temperature
1580486430,11.3
1580486490,11.3
1580486550,11.3
1580486610,11.3
1580486670,11.3
1580486730,11.3
1580486790,11.3
1580486850,11.3
1580486910,11.3
1580486970,11.3
1580487030,11.3
1580487090,11.3
1580487150,11.3
1580487210,11.3
1580487270,11.3
1580487330,11.3
1580487390,11.3
1580487450,11.3
1580487510,11.3
1580487570,11.3
1580487630,11.3
1580487690,11.3
1580487750,11.3
1580487810,11.3
1580487870,11.3
1580487930,11.3
1580487990,11.3
1580488050,11.3
1580488110,11.3
1580488170,11.3
1580488230,11.3
1580488290,11.3
1580488350,11.3
1580488410,11.3
1580488470,11.3
1580488530,11.3
1580488590,11.3
1580488650,11.3
1580488710,11.3
1580488770,11.3
1580488830,11.3
1580488890,11.3
1580488950,11.3
1580489010,11.3
1580489070,11.3
1580489130,11.3
1580489190,11.3
1580489250,11.3
1580489310,11.3
1580489370,11.3
1580489430,11.3
1580489490,11.3
1580489550,11.3
1580489610,11.3
1580489670,11.3
1580489730,11.3
1580489790,11.3
1580489850,11.3
1580489910,11.3
1580489970,11.3
1580490030,11.3
1580490090,11.3
1580490150,11.3
1580490210,11.3
1580490270,11.3
1580490330,11.3
1580490390,11.3
1580490450,11.3
1580490510,11.3
1580490570,11.3
1580490630,11.3
1580490690,11.3
1580490750,11.3
1580490810,11.3
1580490870,11.3
1580490930,11.3
1580490990,11.3
1580491050,11.3
1580491110,11.3
1580491170,11.3
1580491230,11.3
1580491290,11.3
1580491350,11.3
1580491410,11.3
1580491470,11.3
1580491530,11.3
1580491590,11.3
1580491650,11.3
1580491710,11.3
1580491770,11.3
1580491830,11.3
1580491890,11.3
1580491950,11.3
1580492010,11.3
1580492070,11.3
1580492130,11.3
1580492190,11.3
1580492250,11.3
1580492310,11.3
1580492370,11.3
1580492430,11.3
1580492490,11.3
1580492550,11.3
1580492610,11.3
1580492670,11.3
1580492730,11.3
1580492790,11.3
1580492850,11.3
1580492910,11.3
1580492970,11.3
1580493030,11.3
1580493090,11.3
1580493150,11.3
1580493210,11.3
1580493270,11.3
1580493330,11.3
1580493390,11.3
1580493450,11.3
1580493510,11.3
1580493570,11.3
1580493630,11.3
1580493690,11.3
1580493750,11.3
1580493810,11.3
1580493870,11.3
1580493930,11.3
1580493990,11.3
1580494050,11.3
1580494110,11.3
1580494170,11.3
1580494230,11.3
1580494290,11.3
1580494350,11.3
1580494410,11.3
1580494470,11.3
1580494530,11.3
1580494590,11.3
1580494650,11.3
1580494710,11.3
1580494770,11.3
1580494830,11.3
1580494890,11.3
1580494950,11.3
1580495010,11.3
1580495070,11.3
1580495130,11.3
1580495190,11.3
1580495250,11.3
1580495310,11.3
1580495370,11.3
1580495430,11.3
1580495490,11.3
1580495550,11.3
1580495610,11.3
1580495670,11.3
1580495730,11.3
1580495790,11.3
1580495850,11.3
1580495910,11.3
1580495970,11.3
1580496030,11.3
1580496090,11.3
1580496150,11.3
1580496210,11.3
1580496270,11.3
1580496330,11.3
1580496390,11.3
1580496450,11.3
1580496510,11.3
1580496570,11.3
1580496630,11.3
1580496690,11.3
1580496750,11.3
1580496810,11.3
1580496870,11.3
1580496930,11.3
1580496990,11.3
1580497050,11.3
1580497110,11.3
1580497170,11.3
1580497230,11.3
1580497290,11.3
1580497350,11.3
1580497410,11.3
1580497470,11.3
1580497530,11.3
1580497590,11.3
1580497650,11.3
1580497710,11.3
1580497770,11.3
1580497830,11.3
1580497890,11.3
1580497950,11.3
1580498010,11.3
1580498070,11.3
1580498130,11.3
1580498190,11.3
1580498250,11.3
1580498310,11.3
1580498370,11.3
1580498430,11.3
1580498490,11.3
1580498550,11.3
1580498610,11.3
1580498670,11.3
1580498730,11.3
1580498790,11.3
1580498850,11.3
1580498910,11.3
1580498970,11.3
1580499030,11.3
1580499090,11.3
1580499150,11.3
1580499210,11.3
1580499270,11.3
1580499330,11.3
1580499390,11.3
1580499450,11.3
1580499510,11.3
1580499570,11.3
1580499630,11.3
1580499690,11.3
1580499750,11.3
1580499810,11.3
1580499870,11.3
1580499930,11.3
1580499990,11.3
1580500050,11.3
1580500110,11.3
1580500170,11.3
1580500230,11.3
1580500290,11.3
1580500350,11.3
1580500410,11.3
1580500470,11.3
1580500530,11.3
1580500590,11.3
1580500650,11.3
1580500710,11.3
1580500770,11.3
1580500830,11.3
1580500890,11.3
1580500950,11.3
1580501010,11.3
1580501070,11.3
1580501130,11.3
1580501190,11.3
1580501250,11.3
1580501310,11.3
1580501370,11.3
1580501430,11.3
1580501490,11.3
1580501550,11.3
1580501610,11.3
1580501670,11.3
1580501730,11.3
1580501790,11.3
1580501850,11.3
1580501910,11.3
1580501970,11.3
1580502030,11.3
1580502090,11.3
1580502150,11.3
1580502210,11.3
1580502270,11.3
1580502330,11.3
1580502390,11.3
1580502450,11.3
1580502510,11.3
1580502570,11.3
1580502630,11.3
1580502690,11.3
1580502750,11.3
1580502810,11.3
1580502870,11.3
1580502930,11.3
1580502990,11.3
1580503050,11.3
1580503110,11.3
1580503170,11.3
1580503230,11.3
1580503290,11.3
1580503350,11.3
1580503410,11.3
1580503470,11.3
1580503530,11.3
1580503590,11.3
1580503650,11.3
1580503710,11.3
1580503770,11.3
1580503830,11.3
1580503890,11.3
1580503950,11.3
1580504010,11.3
1580504070,11.3
1580504130,11.3
